Text,True_Label,predicted_label,confusion_matrix_class
sekjen suharso legawa lepas kursi ketum ppp mardiono,0,0,True Positive
hotel jakarta isolasi mandiri biayanya ditanggung pemerintah,1,1,True Negative
demo tuh mui dah tertulis pork bone cap halal,1,1,True Negative
tautan subsidi pulsa kuota kemendikbud periode lebaran,1,1,True Negative
ustadz yusuf mansur umat islam dikatain radikal pilihlah jokowi,1,1,True Negative
perda dki penyidik satpol pp disahkan juli,0,0,True Positive
pdip dukung rencana jokowi reshuffle menteri antitesis,0,0,True Positive
anies sambut dukungan partai ummat capres,0,0,True Positive
kota indonesia hancur total akibat gempa bumi,1,1,True Negative
komisi ii dpr sepakati anggaran kpu rp t,0,0,True Positive
kekerasan seksual dunia digital masuk ruu tpks,0,0,True Positive
dprd dki jadwalkan paripurna interpelasi formula e lebaran,0,0,True Positive
jokowi kampus didik mahasiswa radikal,0,0,True Positive
pkb pasangkan cak imin anies baswedan bersatu umat,0,0,True Positive
ketua fpi husein alatas orasi minyak goreng langka aksi,0,1,False Negative
hadapi ancaman stm pakar intelejen densus tingkatkan kemampuan persenjataan,1,0,False Positive
foto jenazah covid bekasi,1,1,True Negative
komisi ii buka suara peredaran nama anggota kpu bawaslu terpilih,0,0,True Positive
lowongan kerja crew runner pon papua,1,1,True Negative
merilis hasil survei tenang pemilu dipenjara,0,0,True Positive
video jagal sapi meninggal ditendang sapi qurban,1,1,True Negative
elektabilitas demokrat klaim rakyat puas pemerintah,0,0,True Positive
anggota dpr positif covid pertemuan fisik dibatasi,0,0,True Positive
baleg klaim lobi ruu tpks disahkan inisiatif dpr,0,0,True Positive
golkar harta andika kantor pajak,0,0,True Positive
arief budiman kutuk batu kpu curang,1,0,False Positive
kartel narkoba lolos presiden filipina peringatan jokowi,1,1,True Negative
jokowi ajukan ksad andika perkasa calon tunggal panglima tni,0,0,True Positive
relawan pesan jokowi bersyukur beli bbm antre disubsidi,0,0,True Positive
mega akui capek ketum melulu kader ya wis,0,0,True Positive
kontras jokowi maruf dusta kerja nyata,0,0,True Positive
ylki usul penerbitan sim dialihkan kemenhub revisi uu llaj,0,0,True Positive
video gempar irjen kerisna murti nyatakan perang ferdy sambo ketakutan,1,1,True Negative
pergantian m taufik wakil ketua dprd paripurna pekan,0,0,True Positive
relawan ganjar susuri jabar misi rebut kantong terbesar,0,0,True Positive
foto badai petir angkasa,1,1,True Negative
jusuf kalla tjahjo kumolo mengabdikan,0,0,True Positive
video viral diduga oknum tni curi kotak amal,1,1,True Negative
nasdem tindak kader dukung pemilu coblos partai caleg,0,0,True Positive
video jokowi akui gagal presiden serahkan jabatan presiden prabowo,1,1,True Negative
amien rais ingatkan jokowi pemilu ditunda,0,0,True Positive
presiden mngusung jenazah muadzin,1,1,True Negative
foto gadis dipenjara melawan diperkosa,1,1,True Negative
pengusung khilafah kalap ditemukan bendera pki,1,1,True Negative
apdesi kubu arifin desak polisi usut aktor dukung jokowi periode,0,0,True Positive
pks dukung pdip tunda amendemen terkait pphn,0,0,True Positive
joman sindir relawan jokowi ujung ujungnya dukung ganjar pranowo,0,0,True Positive
pdip menghentikan perang rusia ukraina jokowi,0,1,False Negative
pks menolak bersandiwara,1,1,True Negative
kutipan gus mus warga keturunan arab berislam,1,1,True Negative
anggota komisi iii dpr restorative justice dijual beli,0,0,True Positive
dpr terima surpres jokowi ruu kup,0,0,True Positive
sabam sirait meninggal dunia april,1,1,True Negative
aksi sweeping pendukung pendukung soloraya,1,1,True Negative
pdip buka suara pidato megawati soroti peran perempuan,0,0,True Positive
drone pengintai israel terbang rendah diatas langit gaza palestina,1,1,True Negative
formappi kritik dpr rayakan ultah puan mengolok olok rakyat,0,0,True Positive
pendeta anies baswedan berkhotbah membawakan renungan kiamat air bah,1,1,True Negative
resmi gabung golkar rian ernest didorong caleg dki,0,0,True Positive
foto lars bo larsen papua,1,1,True Negative
parpol dilarang kampanye november,0,0,True Positive
akun facebook bupati tana tidung ibrahim ali,1,1,True Negative
luhut prabowo indonesia kerap dituduh komunis,0,0,True Positive
pesan whatsapp kapolresta tangerang kombes wahyu sri bintoro dana rp juta,1,1,True Negative
walkot bekasi terjaring ott golkar tunggu pengumuman resmi kpk,0,0,True Positive
surya paloh nasdem membebek survei tentukan capres,0,0,True Positive
waketum gerindra kans capres cawapres diumumkan ramadan,0,0,True Positive
jalur wisata gunung bromo amblas,1,1,True Negative
pendaftaran relawan covid wisma atlet,1,1,True Negative
hasil perhitungan data orang divaksinasi terpapar varian delta peluang kematian,1,1,True Negative
angkut mayat gak lg pake ambulance,1,1,True Negative
burhanuddin muhtadi rp miliar menangkan jokowi,1,0,False Positive
demo akbar mahasiswa panglima tni dukung polisi represif,0,0,True Positive
bawaslu telusuri dugaan kpu intimidasi petugas verifikasi parpol,0,0,True Positive
golkar nasdem respons jabatan setahun panglima tni andika,0,0,True Positive
waketum respons pkb merah tolak pks koalisi musuh,0,0,True Positive
ditemukan mayat mengambang duduksampeyan gresik,1,1,True Negative
ayo diralat kebijakannya,1,1,True Negative
foto pohon natal masjid,1,1,True Negative
teriak jokowi periode lelaki dihajar warga bonyok dehhh…,1,0,False Positive
pertamina palembang terbakar,1,1,True Negative
jejak politik lucky hakim dikabarkan mundur wabup indramayu,0,1,False Negative
menteri agraria sofyan djalil datangi istana isu reshuffle,0,0,True Positive
jokowi didesak turun tangan ngabalin setop politisasi,0,1,False Negative
partai gelora bantah manipulasi verifikasi faktual pemilu,0,0,True Positive
video kehancuran tatanan dunia pecah pulau pasir – ampuh negara pengganggu,1,1,True Negative
aksi bunuh kawasan sukoharjo,1,1,True Negative
utusan kib temui ahy deklarasi anies capres,0,0,True Positive
pemerintah usul ruu sisdiknas masuk prolegnas prioritas,0,0,True Positive
mengonsumsi makanan minuman mengandung alkohol soda vaksin covid,1,1,True Negative
kekuasaan menghancurkan islam mayat mustafa kemal ataturk diterima bumi,1,1,True Negative
ahy bahas kemunduran demokrasi kritik pasukan buzzer,0,0,True Positive
hasto pdip umumkan capres juni,0,0,True Positive
foto anies baswedan makan amateur editor editor pemula,1,1,True Negative
informasi gempa bumi situbondo mencatut nama kiai,1,1,True Negative
pks ingatkan anggota komcad petantang petenteng,0,0,True Positive
kepala otorita ikn dilantik pekan,0,0,True Positive
komisi iii cecar kapolri geng tubuh polri,0,0,True Positive
infografis bawaslu kepri kampanye,1,0,False Positive
kesaksian kpud diancam idham holik loloskan gelora pkn garuda,0,0,True Positive
ketua dpr puan dorong penetapan gagal ginjal akut status klb,0,0,True Positive
relawan daerah deklarasi dukung anies capres,0,0,True Positive
akun whatsapp wakil wali kota denpasar kadek agus arya wibawa,1,1,True Negative
demo memprotes kecurangan hasil pemilu brasilia november,1,0,False Positive
innalillahi wainna ilaihirojiun maret ariel noah meninggal dunia mengalami kecelakaan maut,1,1,True Negative
pkb prabowo cak imin diusung pilpres,0,0,True Positive
situs lelang milik djkn lelanginternal com,1,1,True Negative
pks ganti wakil ketua dprd dki diklaim rolling rutin,0,0,True Positive
fadli zon bela mamat alkatiri dilaporkan brigitta lasut,0,0,True Positive
broadcast whatsapp info test seleksi gtt ptt,1,1,True Negative
survei csis mayoritas ahli pemindahan ikn sesuai target,0,0,True Positive
akun facebook anggota polres trenggalek menawarkan kendaraan,1,1,True Negative
psi sindir anies jarang hadir rapat paripurna,0,0,True Positive
isu jabatan kades dikritik muncul video terima kasih partai,0,0,True Positive
nasdem balas pan mundur kabinet jokowi,0,0,True Positive
demokrat klaim rakyat ahy capres,0,0,True Positive
pkp tolak presiden periode mas ahy puan nyapres,0,0,True Positive
anggota dpr positif covid komisi lockdown,0,0,True Positive
hasil survei litbang kompas pilpres bandung,1,0,False Positive
lowongan pekerjaan pemkot surabaya,1,1,True Negative
demokrat jokowi sikapi wacana tunda pemilu,0,0,True Positive
pria hukuman mati mengkhotbahkan injil suriah,1,1,True Negative
gambar anies baswedan sumur resapan,1,1,True Negative
pesan larangan kendaraan plat ad solo jogja,1,1,True Negative
puan sindir deklarasi capres nasdem suasana duka,0,0,True Positive
apdesi kubu surta wijaya klaim ribu kades dukung jokowi periode,0,0,True Positive
video jatuhnya pesawat nepal,1,1,True Negative
kpu anulir keputusan peserta pemilu,1,0,False Positive
pkb cak imin terjebak macet hadiri puncak harlah nu,0,0,True Positive
penampakan jin mata sipit hakim mk,1,1,True Negative
tidar deklarasi dukung prabowo maju pilpres,0,0,True Positive
gatot kenang andika dipromosikan kolonel gagal,0,1,False Negative
nyawa terancam pasukan elit tni bergerak biikin xii jinping,1,1,True Negative
penyamaran terbongkar,1,1,True Negative
baleg setujui ruu tpks inisiatif dpr pks menolak,0,0,True Positive
kader pdip temanggung kembalikan bantuan ganjar elite solo berang,0,0,True Positive
megawati capres pdip umpetin aja,0,0,True Positive
yasonna parpol terdaftar jalankan fungsi,0,0,True Positive
kpu partai ummat ajukan keberatan pusat daerah,0,0,True Positive
terlibat kudeta presiden dijemput paksa anies babak belur,1,1,True Negative
la nyalla jokowi perintahkan mk lepas ambang batas presiden,0,0,True Positive
idi ikatan bidan tolak penghapusan uu profesi ruu kesehatan,0,0,True Positive
air surut meter pelabuhan banten,1,1,True Negative
wuhan ribuan nyamuk diinokulasi viagra lepas laboratorium keamanan,1,1,True Negative
jokowi acara projo dukung,0,0,True Positive
sby didiagnosis kanker prostat jalani perawatan negeri,0,0,True Positive
makan buah perut kosong sembuhkan kanker,1,1,True Negative
prabowo pandemi keputusan presiden cocok rakyat,0,0,True Positive
bem si tolak penundaan pemilu butuh pemimpin terbaru,0,0,True Positive
jokowi teriakan dukungan periode taat konstitusi,0,0,True Positive
menhan prabowo menhan china membebaskan sandara tahan cham militer china,1,1,True Negative
anjing zionis dilatih menerkam orang sholat,1,1,True Negative
video kerupuk crispy crackers mudah terbakar,1,1,True Negative
artikel berita duka seiamat jaian seiamanya akang sulle,1,1,True Negative
mundur massal pengurus partai ummat amien rais kalem,0,0,True Positive
bambang pacul dilaporkan mkd copot hakim mk aswanto,0,0,True Positive
pks cak imin komunikasi nasdem demokrat progresif,0,0,True Positive
dprd dki usul dana petugas rt rw,0,0,True Positive
foto anak berdarah mahasiswa poly university korban demo demo rusuh hongkong,1,1,True Negative
anies baswedan renang selokan bentuk syarat presiden,1,0,False Positive
pdip klaim desak jokowi copot menteri nasdem kabinet,0,0,True Positive
golkar buka suara akbar tanjung dukung anies capres,0,0,True Positive
prabowo shalat jumat keliling masjid ketemu,1,1,True Negative
pembahasan anggaran pemilu dpr tunggu pelantikan anggota kpu bawaslu,0,0,True Positive
krisdayanti ratusan juta rupiah anggota dpr,0,0,True Positive
gibran pemimpin pintar mencanlonkan walikota,1,1,True Negative
penyemprotan racun virus corona malaysia singapore udara,1,1,True Negative
akun twitter vivacoid dinonaktifkan beritakan kematian kolonel tni al penemu kokain senial rp triliun,1,1,True Negative
ahok pelanggan alexis happy urut,1,1,True Negative
judul artikel berita detiknews pas mimpin rakyat gila,1,1,True Negative
tebak hasil musyawarah relawan jokowi ujung ujungnya ganjar pranowo,0,0,True Positive
mega usung gibran ganjar,1,0,False Positive
kib sindir nasdem koalisi ecek ecek jaka sembung ojek,0,0,True Positive
ptun tolak gugatan ksp moeldoko lawan yasonna demokrat,0,0,True Positive
ketua dprd dki tunggu panggilan bk proses laporan,0,0,True Positive
bencana alam tanah longsor wilayah lebakbarang menimbulkan korban jiwa,1,1,True Negative
projo bantah panda nababan jokowi sifat pendendam,0,0,True Positive
kemendagri pj gubernur dki dilantik oktober,0,0,True Positive
gambar sampul koran tempo gotong royong melawan virus corona,1,1,True Negative
foto suspect corona rs saleh probolinggo semoga perlindungan,1,1,True Negative
jokowi kunker jatim pakai pesawat kepresidenan merah putih,0,0,True Positive
prabowo lebaran rumah mega cerita lucu bahas pemilu,0,0,True Positive
dpr beberkan alasan anggaran pemilu capai rp triliun,0,0,True Positive
nama dheva suprayoga,1,1,True Negative
golkar respons deklarasi anies diy singgung politik identitas,0,0,True Positive
video warga jateng berjuang musibah bencana,1,1,True Negative
malam gempa,1,1,True Negative
partai dpr kritik perppu cipta kerja jokowi,0,0,True Positive
video gempa indonesia magnitudo getaran kilometer,1,1,True Negative
rancangan aturan penambahan kursi dpr dprd disetujui dpr,0,0,True Positive
pan tolak pemilu coblos partai caleg mk lip service,0,0,True Positive
cerita jokowi pemindahan kota gagal era sukarno sby,0,0,True Positive
penampakan piramida giza,1,1,True Negative
daftar urutan seleksi calon anggota kpu bawaslu,0,0,True Positive
megawati istana gemerlapnya situ sisi gelap,0,0,True Positive
megawati pdip ngomong koalisi out,0,0,True Positive
dpr tetapkan anggota kpu anggota bawaslu,0,0,True Positive
video peluncuran matahari buatan china,1,1,True Negative
pesan giveaway kedas beauty,1,1,True Negative
pemerintah sikapi serius aksi mahasiswa april kekerasan,0,0,True Positive
muncul relawan dukung erick thohir capres,0,0,True Positive
jokowi reshuffle kabinet istana singgung minyak curah,0,0,True Positive
shoot tv one bhs cina,1,1,True Negative
litbang kompas pdip tertinggi ppp pan terancam terpental,0,0,True Positive
wapres amerika mike pence umat islam menuntut hukum syariah meninggalkan amerika,1,1,True Negative
diam diam david beckham wamena papua,1,1,True Negative
tiktok ivan gunawan hadiah juta motor,1,1,True Negative
demokrat surati mahkamah agung respons gugatan yusril,0,0,True Positive
donasi kaos oblong bekas tim medis rsd wisma atlet,1,1,True Negative
pesan berantai bubarnya agama by ahmad mustofa bisri,1,1,True Negative
dilantik pejabat kpu terpilih bertemu cak imin,0,0,True Positive
daftar bualan jokowi ala bem ui rindu didemo kpk kuat,0,0,True Positive
info resmi polda diy modus tindak kriminal,1,1,True Negative
chloroquine obat malaria klorokuin menyembuhkan covid,1,1,True Negative
foto pahlawan perang era teknik ngibul negara musuh janji manisnya,1,1,True Negative
steak nasgor kecombrang menu santapan jokowi bareng ketum parpol,0,1,False Negative
video giveaway jusuf hamka akun facebook yusuf hamka,1,1,True Negative
perihal mobilitas personel bin upaya pendeskreditan netralitas tni polri bin,1,1,True Negative
innalillahi presiden kristen pemerintahan kuasai kristen kebijakannya anti islam,1,1,True Negative
undangan wawancara kerja diskominfo jawa barat,1,1,True Negative
pkb tolak usulan hak angket minyak goreng bikin kegaduhan,0,0,True Positive
polisi membubarkan massa aksi bela palestina solo tembakan,1,0,False Positive
survei warga presiden kerja berdasar janji pphn,0,0,True Positive
layanan kegiatan kerjasama like and share rcti,1,1,True Negative
smrc etnis minang terendah kepuasan kinerja jokowi,0,0,True Positive
terindikasi cerdas dukung hastag gantipresident,1,1,True Negative
video demonstran menembaki pesawat pemerintah brazil,1,1,True Negative
biaya tilang indonesia,1,1,True Negative
partai lokal aceh penuhi syarat pemilu,0,0,True Positive
dpr bpom makanan nestle sehat,0,0,True Positive
jokowi positif corona,1,1,True Negative
gerindra cak imin hasil ijtima nusantara prabowo,0,0,True Positive
juli mengurus sim skck membutuhkan sertifikat vaksin covid,1,1,True Negative
dpr kaji kampanye pemilu,0,0,True Positive
erick thohir pendiri dompet dhuafa,1,1,True Negative
pesilat pagar nusa purbalingga meninggal atraksi pemecahan batu bata kepala palu,1,1,True Negative
demokrat sindir sosok tiada kontribusi harap diusung,0,0,True Positive
pks tantang prasetio edi buktikan kebohongan anies baswedan,0,0,True Positive
komunitas savejanda kecam aturan pks poligami,0,0,True Positive
surya paloh ingatkan pemilu digelar monopoli kekuasaan,0,0,True Positive
cak imin harap deklarasi capres cawapres ramadan,0,0,True Positive
ariekuntung kejadian,1,1,True Negative
kesimpulan rob oswald covid khayalan fiktif,1,1,True Negative
pendidikan agama dihapus,1,1,True Negative
st louis arch menyalakan lampu biru kuning bentuk dukungan ukraina,1,1,True Negative
arteria tepis usul ott aparat diskriminatif instrumen beda,0,0,True Positive
gelanggang menggoyang suharso monoarfa kursi ketum ppp,0,0,True Positive
fraksi beda pandangan pdip pemilu coblos partai,0,0,True Positive
video joe biden kejatuhan kotoran burung berpidato,1,1,True Negative
tahapan pelaksanaan skb cpns bkn,1,0,False Positive
zulhas larang kader pan dukung capres partai,0,0,True Positive
spanduk pasang cebong,1,1,True Negative
ramai ramai doakan kesembuhan sby didiagnosis kanker prostat,0,0,True Positive
dasco gerindra kenang tjahjo kumolo tukar pikiran,0,0,True Positive
dpr resmi sahkan ruu tpks undang undang,0,0,True Positive
video pidato vladimir putin menuntut menteri agama yaqut cholil qoumas maaf umat muslim indonesia,1,1,True Negative
aji desak cabut pasal rkuhp ancaman kebebasan pers,0,0,True Positive
kepanikan orang china akibat viruscorona,1,1,True Negative
foto buronan nya dikerangkeng,1,1,True Negative
dpr persilakan masyarakat gugat rkuhp mk,0,0,True Positive
gambar sampul majalah tempo bayang bayang paloh,1,1,True Negative
raffi ahmad datangi hotman paris sore gideon tengker dpt harta krn mama rieta,1,1,True Negative
dpr kebut ruu papua barat daya target selesai september,0,0,True Positive
kejamnya rezim,1,1,True Negative
ekstradisi ri singapura berlaku ratifikasi dpr,0,0,True Positive
tutup kuping dpr pekikan buka draf rkuhp,0,0,True Positive
bahasa china masuk kurikulum sekolah halmahera selatan,1,1,True Negative
foto dipanggil istana bambang tri tolak segudang tawaran jokowi,1,1,True Negative
csis nilai pasal penghinaan presiden draf final rkuhp rancu,0,0,True Positive
bea cukai riau adakan lelang tertutup harga murah,1,1,True Negative
dpr sorot tni terlibat panglima ksad harmonis,0,0,True Positive
video kisah pilu italy nya meninggal pasien covid,1,1,True Negative
komisi i buka opsi andika disahkan dpr dilantik,0,0,True Positive
puan pemerintah eksekusi putusan ma vaksin halal,0,1,False Negative
dendam mega sby keengganan koalisi pdip demokrat,0,0,True Positive
slip gaji petugas kebersihan pertamina rp juta,1,1,True Negative
hirup uap air panas kali sehari menangkal covid,1,1,True Negative
relawan ganjar bentuk dewan kopral saingi dewan kolonel puan,0,0,True Positive
anies bicara demokrasi melemah wasit dikuasai lawan disingkirkan,0,0,True Positive
kartu pra kerja menganggur digaji,1,1,True Negative
ulama kh amir hamzah diserang pancoran jakarta selatan,1,1,True Negative
ketua kpu pantau laporan dugaan pelecehan seksual wanita emas dkpp,0,0,True Positive
dongkrak elektabilitas puan menangis rakyat,0,1,False Negative
keok,1,1,True Negative
viral ridwan kamil mereview film a man called ahok,1,0,False Positive
istri mantan terpidana korupsi irwandi yusuf daftar calon anggota dpd,0,0,True Positive
jokowi temui korban pelanggaran ham berat aceh eropa,0,0,True Positive
survei cisa mayoritas tolak presiden periode,0,0,True Positive
narasi tito karnavian berideologi komunis disekolahkan partai komunis china beijing,1,0,False Positive
habiburokhman tegaskan m taufik kader gerindra,0,0,True Positive
ormas kombatan deklarasi relawan dukung ganjar capres,0,0,True Positive
pendukung fanatik jokowi meninggal berjalan kilometer,1,1,True Negative
warga pekalongan ngadu wakil ketua mpr dugaan beking limbah,0,0,True Positive
kpu dpr rapat bahas jadwal pemilu,0,0,True Positive
ngabalin bela jokowi wag tni polri informasinya akurat,0,0,True Positive
alasan megawati tolak pembangunan proyek bandara bali utara,0,0,True Positive
hewan mati bergelimpangan efek radiasi g,1,1,True Negative
ksad jenderal andika perkasa adu otot tentara amerika serikat,1,1,True Negative
anies dibopong massa kota medan teriakan presiden menggema,0,0,True Positive
jokowi bagikan sk hutan sosial blt sumut,0,0,True Positive
survei prabowo cak imin ungguli ganjar andika anies ahy,0,0,True Positive
musra capres relawan jokowi ganjar unggul sulsel airlangga banten,0,0,True Positive
instruksi gubernur dki jakarta penilangan bermasker pikobar,1,1,True Negative
video nigeria minggu menghancurkan jutaan vaksin covid melindungi rakyatnya kematian akibat suntikan vaksin covid,1,1,True Negative
formappi dana dapil dprd dki rp miliar politik pribadi,0,0,True Positive
ikhlas sandi relakan utang anies rp m istikharah,0,1,False Negative
prabowo titip salam sby bertemu ahy,0,0,True Positive
poster ungkapan duka cita pmi dki jakarta meninggalnya megawati,1,1,True Negative
pesan berantai tautan mie sedaap bagikan hadiah,1,1,True Negative
kemendagri pemberhentian kepala daerah,0,0,True Positive
anggota dpr nilai hukuman mati heru hidayat efek jera koruptor,0,0,True Positive
kaca pos lantas perbaungan ditembak otk,1,1,True Negative
indra sjafri pelatih juventus,1,1,True Negative
kpu balikpapan tolak hadiri rapat tunda pemilu anak buah mahfud,0,0,True Positive
gibran buka suara masuk bursa pilgub,0,0,True Positive
eks kader nasdem mantan ketua gp ansor calon anggota dpd bali,0,0,True Positive
profil dhohir farisi suami yenny wahid kader psi,0,0,True Positive
akun telegram badan koordinasi penanaman modal bkpm admin grup thomas lembong,1,1,True Negative
demokrat kerumunan jokowi sumut teladan prokes drop,0,0,True Positive
bambang widjojanto jaminan tragedi pemilu terulang,0,0,True Positive
razia masker indonesia mengerahkan lintas sektor,1,1,True Negative
atnike nova sigiro terpilih ketua komnas ham,0,0,True Positive
foto jalan raya china macet total,1,1,True Negative
rizal ramli nilai luhut tantang kesabaran mega penundaan pemilu,0,0,True Positive
dihina presiden lebanon turki kirim bantuan kali,1,1,True Negative
yusrilihza mhd london menutup gereja membuka mesjid,1,1,True Negative
nyali anggota dpr menciut rapat bareng luhut,0,0,True Positive
dprd dki paripurna besok tentukan nasib interpelasi anies,0,0,True Positive
cak imin ulama keluarkan ijtima tolak amplop pemilu,0,0,True Positive
pkb dpr eksklusif isoman hotel,0,0,True Positive
negara arab saudi pajak,1,1,True Negative
dpr dorong visum buktikan kekerasan seksual putri candrawathi,0,0,True Positive
kabel tegangan menjangkau otak ear phones bluetooth,1,1,True Negative
jejak kades jelang jokowi periode kuasa,0,0,True Positive
skenario gagal nyapres relawan ganjar belok prabowo,0,0,True Positive
dzolim banget polisi demonstran terluka dirawat rs pake interogasi penyiksaan,1,1,True Negative
hidayat nur wahid serukan referendum kota,0,0,True Positive
daftar ketua parpol kabinet jokowi,0,0,True Positive
jokowi respons capres pilihan megawati rakyat pilih,0,0,True Positive
hasto klaim partai lobi lobi ajak pdip kerja,0,0,True Positive
putin memaafkan teroris urusan tuhan mengirim tuhan terserah,1,1,True Negative
foto rudal balistik buatan indonesia diangkut truk,1,1,True Negative
pengamat sikap jokowi endorse capres sulut kontroversi,0,0,True Positive
sk pengangkatan cpns kabupaten sampang,1,1,True Negative
dituding nyapres sandiaga menghadap prabowo,0,0,True Positive
habib rizieq lumpuh total,1,1,True Negative
gunung semeru meletus menelan ratusan nyawa,1,1,True Negative
maklumat masyayikh ponpes lirboyo dukung prabowo – sandi,1,0,False Positive
postingan akun facebook lambe turah pelaku pembunuhan siswi smk ditangkap,1,1,True Negative
bahlil puan anies pasangan bagus putaran,0,0,True Positive
ppp sanksi rektor itk manusia gurun ringan,0,0,True Positive
bantuan sosial kemensos dosen guru siswa mahasiswa,1,1,True Negative
yahya staquf respons isu kemenag intervensi muktamar lawan said aqil,0,0,True Positive
sandiaga respons santai desakan mundur pilpres elit gerindra,0,0,True Positive
sekjen pks bingung ribuan kader teriak anies presiden,0,0,True Positive
akun whatsapp bupati klaten sri mulyani,1,1,True Negative
ganjar pranowo tegaskan hormati megawati soekarnoputri,0,0,True Positive
nasdem pengusaha buruh diajak bahas usulan ubah jam kantor,0,0,True Positive
ketik spasi akun aman,1,1,True Negative
lsm tolak andika perkasa panglima tni pilih ksal yudo,0,0,True Positive
maret kominfo unregistrasi kartu paket aktivitas internet × jam,1,1,True Negative
akun whatsapp wakil bupati sukoharjo tawarkan bantuan dana,1,1,True Negative
kutipan kim bok dibunuh aktifis china,1,1,True Negative
pesan berantai teresia fidalgo,1,1,True Negative
anies kritik pemerintah kebijakan berkeadilan sosial,0,0,True Positive
video probolinggo juli meninggal orang serumah vaksin,1,1,True Negative
blusukan ala ma ruf dengar mama papua uang,0,0,True Positive
seekor anjing laut lepas florida,1,1,True Negative
gerindra rapimnas kedatangan saudara seperjuangan pkb,0,0,True Positive
kunker maluku sandiaga dikawal relawan capres,0,0,True Positive
billboard anies for presiden terpancang bekasi ppp buka suara,0,0,True Positive
shah rukh khan meninggal dunia akibat kecelakaan pesawat,1,1,True Negative
ppp kelompok usaha tunda pemilu,0,0,True Positive
wanita berusia,1,1,True Negative
akun whatsapp chatbot quran chat me curi data user,1,1,True Negative
pdip respons video jokowi tolak dipeluk akrab paloh anies,0,0,True Positive
anggota bawaslu dicatut parpol pendaftaran pemilu,0,0,True Positive
whatsapp dapatkan gratis gb,1,1,True Negative
ppp desak luhut paparkan big data dalih tunda pemilu,0,0,True Positive
akun whatsapp sekda kabupaten jepara edy sujatmiko,1,1,True Negative
akun whatsapp wakil wali kota pasuruan adi wibowo,1,1,True Negative
