Text;True_Label
bawaslu gugatan partai ummat kpu lengkap penuhi syarat;0
pks dukung anies capres singgung isu presiden periode cawapres;0
tolak nama jalan pks beda ataturk sukarno;0
foto pantesan komnasham bersebrangan dgn pemerintah…;1
prabowo kaget rujuk pks pelajari;0
puan serukan audit keamanan kilang buntut kebakaran cilacap;0
kompas pemilih jokowi polarisasi reda kubu prabowo;0
penampakan buaya tapak padri bengkulu;1
buaya seret mayat manusia serpong tangerang selatan;1
sandiaga pamer foto bareng sby arab saudi;0
survei capres ipo popularitas puan ungguli ganjar pranowo;0
demokrat tegaskan terbuka koalisi poros kib;0
lowongan kerja puskesmas ponorogo selatan;1
yasonna usul polemik twk kpk diselesaikan pengadilan;0
jejak moncer andika perkasa calon panglima tni pilihan jokowi;0
rian ernest pamit mundur via grup wa psi ambil nomor urut parpol;0
gratis kuota gb operator;1
survei persen publik setuju program jokowi dilanjutkan;0
penyanyi dangdut cita citata meninggal dunia;1
politikus golkar desak bentuk pansus mafia minyak goreng;0
foto anies baswedan patung lilinnya berkarakter tersenyum;1
dpr siapkan pemilu berhubungan amendemen;0
geger serangan bjorka dpr kpu antisipasi gangguan pemilu;0
air kelapa mempengaruhi jenis kelamin janin;1
sby didiagnosis kanker protstat jk doakan sehat;0
relawan jokowi jokpro kenal;0
royalty ribu rupiah wa;1
dpr setujui ruu pemasyarakatan dibawa paripurna besok;0
survei populi persen warga dki berharap anies presiden;0
ketua joman jokowi beban;0
video warga minang tolak kembalikan bantuan menag yaqut rp m gempa pasaman barat;1
budiman pdip beberkan pemimpin indonesia idaman megawati;0
foto gubernur anies narasi mengaku keturunan jogja ambisius raja;1
dpr mentok bahas lembaga pengawas ruu pdp;0
tgb adik ipar luhut binsar pandjaitan;1
akun facebook wali kota surabaya eri cahyadi tawarkan pinjaman;1
akun telegram bibit investasi reksadana;1
minum kopi dicampur lemon mengecilkan perut;1
pengamat jokowi komitmen selesaikan kisruh twk kpk;0
mahfud md curang pemilu pemerintah parpol;0
hasto pdip sematkan jaket partai teten masduki beliau kader;0
video kakek ditahan memakai masker vaksinasi;1
situs bank bjb melayani penukaran poin undian berhadiah;1
foto dibayar pdip ribu suruh demo balaikota modyar;1
pkb klaim legowo cak imin cawapes prabowo pilpres;0
virus corona shah alam selangor;1
awan lentikular berlapis lapis gunung fuji;1
anggota dprd itf sunter selesai era anies bubarkan;0
foto indonesia ibadah;1
menag belajar mengaji abu janda;1
buah disuntik darah hiv aids tujuan menghabiskan orang asli papua;1
akun twitter cimb niaga cimbniaga;1
tka china pekerjaan proyek pltu morowali;1
anggota dpr polri usut dugaan kabareskrim terima uang tambang;0
dprd rapat bamus pekan bahas usul pemberhentian anies;0
demokrat negara bantu kpk tangkap harun masiku;0
wamendagri jokowi kunci plt kepala daerah tito jelang;0
wakil presiden maruf amin ucapkan selamat natal mengenakan kostum sinterklas;1
iriana jokowi marah terima kehormatan presiden dilecehkan;1
mendagri tito kades deklarasi jokowi periode langgar uu;0
kalah pengamat pan ogah usung prabowo;0
will smith jaden smith meninggal dunia akibat kecelakaan mobil;1
gambar jokowi ya ciri orang munafik …;1
pks sambut anies capres nasdem simbol perubahan indonesia;0
ksp three musketeers istana poyuono berimajinasi;0
ganjar baca rekomendasi pdip penetapan capres hak prerogatif megawati;0
video gibran marah obrak abrik rumah cak nun;1
ruu otsus hapus aturan warga papua bentuk parpol;0
pesta homo seksual italia covid mewabah;1
demokrat sentil pdip coblos partai singgung harun masiku;0
whatsapp kasir indomaret salah input voucher games;1
paloh dukung ahok penista agama dukung anies kadrun;0
penipuan model format pengalihan data modus mengirim pulsa;1
kpud ancaman idham holik gelora pkn garuda lolos pemilu;0
matahari bagikan hadiah rayakan pembukaan toko;1
akun facebook bupati kapuas hulu fransiskus diaan uang pulsa;1
gambar tangkapan layar artikel berjudul jokowi pilih andika calon panglima tni;1
dikenali warga puan disarankan setop politik baliho;0
hasto pdip sindir parpol pendukung jokowi pengkritik;0
fraksi rotasi anggota komisi iii jelang uji kelayakan capim kpk;0
ahmad dhani potong kemaluan jokowi menang;1
terjemahan surat al kafirun al quran diganti non muslim;1
foto barbershop tukang cukur wanita jalan pratu rai madra kabupaten badung bali;1
jokowi setop perang membahayakan dunia;0
ganjar lapor jokowi guru curhat diangkat pppk;0
polri jemput paksa uas terlibat investasi bodong;1
hydro oxy mouth freshener spray cegah sembuhkan virus covid;1
kartu dijanjikan wapres maruf debat cawapres terealisasi;1
dpr bin usut ghassem gilchalan wna diduga intel masuk ri;0
komisi viii dpr kritik mensos risma tunarungu bicara ironis;0
mrp pemekaran papua kepentingan;0
kompensasi biaya dirumahaja rp memiliki e ktp;1
survei ipo dedi mulyadi disukai popularitas rk tertinggi;0
media menayangkan anies baswedan raih penghargaan;1
ganjar temui kades jateng singgung korupsi dana desa;0
ma ruf amin gantikan jokowi pimpin pemerintahan juli;0
sekjen pbnu dukung said aqil janji pengurus diisi kiai muda;0
walkot surabaya eri cahyadi usul kepala daerah presiden;0
akun whatsapp sekretaris daerah kota bengkulu arif gunardi;1
video luhut perintahkan kabareskrim mengusut pembunuhan brigadir j;1
antena g masker;1
ramuan penangkal covid kemenkes;1
evaluasi jokowi partai ummat sorot dominansi luhut;0
video ferdy sambo pasrah puluhan tengkoraknya disita polri;1
pt kai membagikan tunjangan transportasi senilai rp juta;1
luhut klaim pemilih demokrat dukung penundaan pemilu;0
akun instagram pt kelinci karir karir duakelinci;1
pesawat jatuh sidomukti probolinggo jawa timur;1
demokrat ingatkan jokowi tunda pemilu belajar kehancuran orba;0
video wawancara ceo pfizer menolak divaksin agustus;1
elite pdip tuding oligarki pisahkan jokowi megawati;0
teka teki partai koalisi pengusung anies;0
capres bayar pajak;0
video komandan kepolisian rusia menghujat islam pemuda checnya menantang duel one by one;1
partai dakwah besutan farid okbah proses urus izin pemerintah;0
temui mahfud denny hukum diduga alat paksa parpol;0
survei pengguna chrome berhadiah apple iphone pro;1
tradisi ziarah dpd pdip jateng jejak warisan karno blitar;0
cuitan akun twitter liessugiyarti membahas pernyataan sandiaga uno debat cawapres;1
said aqil bernama asli i made wiryawan saidi beragama hindu berasal lombok;1
pshk nilai merah kinerja legislasi dpr;0
gibran usulan gubernur presiden seru langsung;0
usul pilgub dihapus pakar nilai bak orba kental kepentingan parpol;0
video viralkan penculik anak bkan hoax nyata;1
pemilik bahan peledak senjata api bandung ditemukan;1
komisioner kpu ntt klarifikasi instruksi pusat loloskan partai u;0
bawaslu buka panggil kpu partai ummat;0
video kebenaran jarum suntik spuit palsu dipersiapkan pemimpin dunia;1
relawan anies jokowi belajar sby tunda pemilu;0
prabowo maju pilpres pan buka komunikasi koalisi;0
pesan berantai warga china dikasih kesempatan pns rakyat indonesia nganggur;1
ketua pdip solo nek kepengen ganjaran ya ganjar pranowo;0
akun facebook bupati gresik sebarkan nomor telepon koperasi pemerintah;1
jidat ulama banten bertuliskan kafir;1
elite golkar respons isu kudeta airlangga munaslub;0
akun facebook bupati halmahera selatan usman sidik;1
ditemui airlangga surya paloh akui bahas wacana penundaan pemilu;0
dpr undang kpu bahas keamanan data penduduk jelang pemilu;0
jokowi bicara ideologi transnasional revolusi industri;0
johan budi novel cs asn polri berantas korupsi;0
ketum partai ummat nilai big data mentah luhut salah kaprah;0
pemakaman putra rk eril cimaung bandung dikawal polisi;0
modus menghabisi ustadz disuntik covid mati;1
prabowo digandrungi milenial hasto sindir grasa grusu;0
foto wanita amerika mengundang hrs berdiskusi;1
foto peta persebaran covid jakarta berwarna merah hitam;1
fda amerika invermectin sembuhkan covid;1
bertemu gatot edy acara pernikahan salim segaf buka suara;0
kader pdip kritik keras relawan jokowi gelar acara akbar gbk;0
pohon natal lambang sumatera barat;1
demokrat genderuwo invisible hand jegal anies maju pilpres;0
negara terima rupiah alat tukar;1
tolak draf final rkuhp koalisi sipil desak pengesahan diundur;0
pakar tantang nyali politikus pdip pemilu terbuka pemilu;0
biarkan yogyakarta jalan tol;1
pkb pdip turun tangan atasi konflik bupati wabup bojonegoro;0
dpr buka peluang bahas rkuhp bareng masyarakat sipil;0
video lockdown spanyol;1
banjir darah bandara kabul;1
ladeni ahy sby moeldoko buka data pembangunan jokowi;0
demo mahasiswa muhammadiyah anggap jokowi gagal total;0
cepat menyelamatkan serangan jantung bubuk cabai;1
firus corona masuk saudi arabia;1
buntut terbunuhnya jenderal bin papua pengiriman pasukan tni masiv papua dipersiapkan;1
hm diklaim menangis klarifikasi isu nonton video porno fraksi pdip;0
adian pdip demokrat belajar matematika kritik harga bbm;0
kammi tolak tunda pemilu potensi demo protes dahsyat;0
jokowi ikuti hut golkar selesai istimewa;0
imigrasi bali menolak mendenda mantan miss universe australia;1
pmri bertemu golkar bahas pembentukan fraksi rakyat;0
pks anies dorong salim segaf capres;0
memakai masker timbulkan radang selaput dada;1
data pengurus fpi intelkam polda ntb;1
harta wamendagri john wempi wetipo meningkat rp miliar;0
supir truk kecelakaan balikpapan dihukum mati;1
hakim wahyu dicopot jokowi;1
surat panggilan tes interview pt pertamina september;1
geger partai ummat bentang bendera masjid cirebon kader buka suara;0
putra haji lulung ketua dpw ppp dki jakarta;0
gerindra sambut opsi duet mega prabowo jilid ii;0
pasukan asing masuk nkri melindungi warga asing;1
pan mayoritas fraksi setuju jokowi teken perppu pemilu provinsi;0
ahmad sahroni temui gibran kamis bantah bahas pilkada dki;0
serial the simpsons prediksi kematian ratu elizabeth ii;1
marak penculikan anak pelaku warga negara malaysia;1
video pertemuan rahasia anies baswedan pengusaha eropa;1
foto kota jawa;1
hasto pdip maksud sentil prestasi anies baswedan jakarta;0
yusril perbedaan tangani demokrat golkar ppp;0
pelaku perampokan pembacokan supir truk ranca ekek bandung tembak mati tim buser;1
gus yahya tegaskan pilpres capres cawapres nama nu;0
jack ma habib rizieq galang dana rp m lawan corona;1
kpu telusuri dugaan kecurangan verifikasi parpol;0
giring psi tawarkan nama ganjar pranowo pan ppp;0
pbb wacanakan duet puan yusril maju pilpres;0
karyawan btc pangkalpinang positif covid;1
ppp balas fahri kib pos ronda orang gurun berteriak stres;0
varrell bramasta ditangkap polisi kekerasan wartawan;1
pkb klaim parpol parlemen nonparlemen gabung kir;0
materi ruu tpks ditargetkan selesai dibahas april;0
dpr berupaya tekan biaya haji rp juta;0
jokowi incar babi panggang pesta imlek;1
pdip anggap ganjar gimik ubah warna rambut hitam;0
politikus demokrat bunuh demokrasi isu ikn;0
lingkaran merah tabung gas lpg penanda kebocoran;1
surat permohonan dana bantuan kegiatan pembersihan drainase aliran kali sekot kendari;1
christiano ronaldo ubah hotelnya rs corona;1
psi anies utang rp m formula e;0
foto daftar obat rs pasien covid;1
bawaslu sulsel koordinasi aparat cegah ijazah palsu pemilu;0
ganjar the next jokowi seruan tagline relawan joman;0
asn kementan foto pakai seragam nasdem dpr ingatkan kode etik;0
wiranto kutip jokowi isu presiden periode menampar muka;0
istana jokowi reshuffle kabinet;0
pdip perpanjangan jabatan anies program spektakuler;0
hotman paris hadiah facebook;1
tes kesehatan paru paru menahan nafas;1
panitia klaim partai resah musra relawan jokowi;0
prabowo bertemu jokowi tertutup istana rahasia;0
gibran klaim mega puan saran maju pilgub;0
kondisi jenazah korban covid rumah sakit osmania india;1
paloh bertemu jokowi jam menit presiden;0
habis sabar igun panggil nikita malam tunjukkan bukti transfer passport bunda corla debat;1
nasdem sindiran hasto wacana pertemuan paloh megawati;0
foto ruang tunggu utama kapal titanic diambil;1
ylbhi kecam perppu ciptaker jokowi kudeta konstitusi;0
megawati cerita malaysia taman makam pahlawan ri;0
dermaga bemata dajjal hancur diterpa gempa tsunami palu donggala;1
isu barter amendemen uud jabatan presiden puan buka suara;0
corona china adakan;1
pan ppkm darurat jawa bali pekan efektif;0
orang tka china pt iwip meninggal dunia akibat virus corona;1
pks mengaku taaruf nasdem demokrat kib;0
jokowi pede peringatan hut ri ikn nusantara;0
daftar jabatan megawati era jokowi;0
gede pasek suardika mundur jabatan sekjen hanura;0
cak imin ogah lanjutkan ide tunda pemilu digebukin orang;0
formula e rpjmd anies bandingkan motogp;0
disalahkan dprd dki singgung tunjangan gubernur;0
situs informasi pengecekan dana bantuan bpjs;1
edy rahmayadi hadiri acara gerindra relawan prabowo medan;0
sby rakyat hak mengkritik gapapa kalo demo anarkis pasukan;1
judi casino halal arab saudi;1
farhat abbas mundur ketum partai pandai;0
video kumpulan skuter listrik terbengkalai harga pergantian baterai mahal;1
pembagian masker gratis dicampur bius;1
jumpa jokowi pan beber kader mumpuni menteri;0
nasdem partai sombong surya paloh internal;0
landasan pacu bandara dubai dihiasi pohon natal;1
aksi mahasiswa unisba bdg jokowi mundur;1
video said aqil siradj dukung prabowo;1
riza patria gerindra pecat taufik keputusan prabowo;0
yasonna kader pks walk out rkuhp memaksakan kehendak sah;0
metallica indonesia raya;1
golkar usung airlangga capres ridwan kamil gabung;0
yakult mencegah kanker paru paru;1
npwp nik digabung penduduk indonesia dipajaki;1
nama calon pj gubernur dki muncul dprd heru budi bahtiar;0
komisi viii dpr soroti dugaan penyelewengan act diusut tuntas;0
sertifikasi halal hapus ruu sapu jagat;1
prabowo buka suara penentuan sosok cawapres;0
imbauan bank indonesia terkait modus penguras saldo rekening atm;1
tina toon usul anggaran sumur resapan dki dihapus ganti normalisasi;0
pdip aturan jabatan presiden dirombak ciptakan krisis;0
rk cawapres anies kecuali partai;0
video pantai merak surut desember;1
bekal historis surya paloh isu koalisi nasdem golkar;0
pesan berantai org penjual daging yg positif covid pasar cileungsi lg test swab massal;1
tmii diambil si megawati madam bansos trus dijual cina;1
pks kutip pidato megawati interupsi puan lgbt ditertibkan;0
indonesia ku sayang indonesia ku malang;1
kib buru buru deklarasi capres;0
uang kertas tulisan arab;1
joe biden massonic illuminaty bible kitab setan dlm sumpahnya mnjdi presiden;1
sahroni polisi usut video remaja sindir nabi muhammad mabuk;0
foto wafat minggu yg penulis wanita kuwait nadiah al jar rahimahallah;1
tautan undian berhadiah zara memperingati hut;1
korlap fpi banjir jakarta air mata malaikat jatuh malaikat terharu alumni sholat massal monas;1
sampul majalah tempo berjudul caci tumbang puji ngutang janji tinggal janji;1
ketua idi resmi dipecat;1
ferry mursyidan baldan mantan menteri jokowi timses prabowo;0
gerindra puan kunjungi prabowo pilpres;0
anies buka suara opsi ahy aher cawapres;0
demokrat dorong jokowi saran ppkm presiden;0
video demo tka china morowali;1
ruu pembentukan provinsi papua sah inisiatif dpr;0
ksal yudo respons panglima tni gantikan andika;0
demokrat pastikan terganggu isu perjanjian anies prabowo;0
video wanita bermasker menolak duduk bersebelahan pria divaksin;1
pdip nomor survei litbang kompas mengejutkan;0
relawan ganjar dekati seniman kena dampak covid;0
kpk temukan uang geledah rumah sby;1
corona virus bohong virus bakteri negara itali;1
dpr ubah tatib terkait pansus ruu ikn pengamat ngakalin;0
anies mendungui warga;1
fluoride pasta gigi air sebabkan kematian;1
survei capres lsi elektabilitas ganjar ungguli anies prabowo;0
kantor bupati jayawijaya wamena bakar habis warga masyarakat penolakan otsus jilid ii;1
lumba lumba mati terdampar pantai karang perancak bali;1
dpr buka sahkan ruu ikn tingkat pansus;0
fkppi laporkan effendi simbolon mkd maaf;0
gerindra pemerintah bantuan warga taat ppkm;0
anak sekolah afrika meninggal vaksin covid;1
kaesang pangarep tolak tawaran partai demokrat;1
infonya malaysia mencaplok km wilayah indonesia;1
wapres pemerintah gak sengaja memakai dana haji gak berdosa;1
pan siapkan pasang capres cawapres rakernas;0
gatot janji gaji rakyat presiden;1
pan respons video zulhas anaknya dipilih bagikan minyakita;0
mark zuckerberg ceo facebook menemukan bff;1
makan bawang mentah garam ubah positif covid negatif menit;1
mahasiswa usir penumpang gelap;1
pengumuman rencana pemblokiran media sosial kemkominfo;1
anak khofifah la nyalla wakil ketua dpd demokrat jatim;0
mpr lapor perkembangan pphn sidang tahunan;0
video berita terbaru sri mulyani sanggup serahkan tugasnya rizal ramli;1
aplikasi body temperature diary mengukur suhu tubuh beli alat test;1
mahfud md sentil dpr bahas ruu pprt seminggu selesai;0
prabowo cak imin daftar pemilu bareng kpu;0
hati hati program vaksin bias disekolah;1
presiden jokowi melecehkan bendera merah putih;1
prabowo hadir rk bima arya asyik joget konser dewa jis;0
prabowo subianto terlibat korupsi benih lobster;1
pkpi pkp pucuk pimpinan dijabat eks denjaka;0
formappi soroti sikap arogan dpr copot hakim mk aswanto;0
video ekonomi ri merosot hancur jokowi angkat tangan menyerah prabowo selamatkan nkri;1
akun telegram modalku berisi ajakan investasi;1
paloh tutup gabung koalisi golkar pan ppp;0
vaksin covid mengandung logam;1
kepulauan maluku tenggelam jurang palung laut;1
risma pdip buka suara wacana cagub dki;0
mayor tni dipecat divonis penjara seumur hidup mutilasi papua;0
vaksin covid meningkatkan risiko hiv;1
virus corona mati suhu derajat terkena sinar matahari;1
kemendagri nama lonte penis alasan aturan nama ktp;0
populasi muslim india mencapai;1
pbnu muhammadiyah politik identitas senjata;0
informasi pendaftaran medical check up rsud abdoel wahab sjahranie samarinda;1
akun twitter badan intel negara badanintelegent;1
cebong ketangkap tni pake atribut pki;1
ahy sambut positif wacana duet anies pilpres;0
pengurus anggota ji partai dakwah naudzubillah tudingan keji;0
puan buka puasa bareng elite pdip pramono yasonna;0
jokowi perdana menteri mengemis dikirim minyak goreng;0
suharso monoarfa hubungi plt ketum ppp mardiono temui jokowi;0
gerindra respons skenario prabowo puan pilpres;0
seragam polri seragam coklat satpam;1
ketua mpr panitia ad hoc pphn disahkan september;0
menko luhut cium kaki prabowo terpilih presiden;1
perintah jokowi azwar anas hadirkan birokrasi melayani;0
air menyambar petir;1
kans partai politik masuk angin setuju jokowi diperpanjang;0
luhut manut jokowi setop bicara penundaan pemilu;0
foto sami abu dyak th anak palestina meninggal penjara;1
partai pelita terkait din syamsuddin terima sk kemenkumham;0
mumi raja tutankhamen ditemukan;1
narasi surat kabar negri koran independent observer;1
erdogan akui kemenangan jokowi;1
tangkapan layar berita media daring berjudul presiden jokowi marah kualitas tenaga kerja ri rendah tambahan narasi salah faktor impor tka besaran china;1
pks anggap solusi kisruh kpk hukum politik;0
elektabilitas ganjar melesat tinggalkan kepak sayap puan;0
kadrun panggilan pki umat islam;1
ppp akui kadernya deklarasi dukung anies yogyakarta;0
kamala harris menertawakan pengungsi ukraina;1
selamat penjajah yg legal;1
breaking news pilkada serentak ditunda kecuali solo medan;1
striker newcastle allan saint maximin dinaturalisasi;1
nussa rarra dilarang diproduksi;1
dpr panggil kepala bpom pekan bahas gagal ginjal;0
gambar tangkapan layar artikel fajar co id penyebab suara ganjar pranowo jeblok jatim jabar gagal mengentas kemiskinan banjir;1
aplikasi dana buatan china memiliki nama asli alipay;1
all jakarta water park;1
airlangga warna partai kib bola piala dunia;0
turn back hoax dibentuk menangkal hoax menaikkan elektabilitas jokowi;1
pdip ogah koalisi partai pakai primordial sara;0
sertifikat vaksin syarat pengisian bbm spbu wilayah trumon raya aceh selatan;1
waketum ppp bicara posisi jokowi konflik suharso mardiono;0
kapolri yudo fit n proper test dpr bukti tni polri solid;0
bayi ikan hiu dajjal;1
marak penculikan anak;1
akun facebook bssquee membagikan giveaway;1
drone emprit anies populer medsos jis;0
rocky gerung beberkan materi obrolan jam gibran rumahnya;0
video tolongin google earth pulau laki;1
video potensi bahaya vaksin covid;1
politikus pdip puan temui ahy bangun suasana kondusif;0
drone mata mata berbentuk serangga didanai pemerintah amerika serikat produksi;1
demokrat gelar rapimnas bahas koalisi pks nasdem;0
pakar lipi pan gabung koalisi jokowi serep;0
foto anies baswedan memegang lem kaleng;1
survei indikator kepuasan publik jokowi dpr dipercaya;0
menteri basuki maju gubernur astaghfirullah bos;0
petinggi nilai raffi ahmad layak dicalonkan pks pilpres;0
penerimaan sampel covid bbtklpp jakarta libur raya idul fitri;1
tentara ukraina membunuh pria chechnya;1
gerai subway dibuka indonesia;1
puan pemerintah tingkatkan kinerja hadapi pandemi;0
video anak anak afrika meninggal akibat suntik vaksin covid;1
surya paloh suara nasdem anjlok nakhodanya out;0
akun whatsapp wakil bupati sukoharjo agus santosa menwarkan program bantuan;1
lsi denny ja kib unggul masyarakat pengguna medsos;0
pasien berstatus positif covid wilayah tiban melarikan;1
mgkn ni mayatx awak kri nanggala;1
pro kontra pj kepala daerah langsung presiden menteri;0
pendaftaran vaksin nusantara whatsapp;1
penggunaan masker menyebabkan kematian akibat covid;1
anies milad bkmt pengajian menghasilkan berpengetahuan;0
donald trump darahku vaksinnya;1
survei kepercayaan publik bidang hukum ekonomi rendah;0
budayawan sunda sentil arteria bahasa inggris rapat;0
video ikan nun menelan nabi yunus;1
jubir respons spanduk luhut binsar pandjaitan calon presiden;0
anggota komisi i dpr bantah psi ruu pdp dihentikan deadlock;0
partai lolos pendaftaran gugat kpu bawaslu;0
ksp izin ponpes shiddiqiyyah jokowi korbankan santri;0
dihadiri pan temu jokowi parpol bahas reshuffle kabinet;0
sinyal reshuffle tanda peringatan jokowi sambut deklarasi anies;0
terbongkar bandara indonesia jalan masuk emigran china;1
lembaga pengawas data pribadi dibentuk keputusan jokowi;0
demokrat moeldoko diterpa isu terbelah kubu;0
dpr polri sikat penjual obat alkes covid nakal;0
survei smrc head to head ganjar anies prabowo kalah;0
mendagri bolehkan pemda utak atik apbd ppkm darurat;0
politikus pdip tolak wacana presiden periode maju cawapres;0
foto corona tka cina makasih indonesia trs bawa amunisi;1
ppp aturan nomor perppu pemilu multitafsir nasdem dukung;0
pdip golkar dorong ambang batas parlemen persen;0
johnny g plate menteri kominfo gebrakan gratis telepon;1
bahaya makan cokelat makan mie;1
foto hrs didzolimi tangan dipelintir petugas lebam;1
video presiden joe merayakan kejatuhan imran khan pm pakistan;1
kekejaman uighur disiksa diambil organ tubuhnya paksa;1
menyamar baju nakes tentara cina berhasil masuk indonesia;1
aniesdimana asiik nih nies;1
menteri bahlil ajak peserta hipmi teriak lanjutkan jokowi;0
pan respons teguran jokowi zulhas fokus kerja;0
himbauan penutupan tpu akibat virus corona jenazah diletakkan rumah;1
video gedung cyber mabes polri mampang jaksel kebakaran;1
jenderal andika perkasa calon panglima tni dpr gelar uji kelayakan;0
wanita memecahkan rekor dunia melahirkan bayi;1
ketum gerindra capres prabowo;0
demokrat pemerintah berniat gelar pemilu;0
ppp buka peluang usung capres non parpol;0
bawaslu tentukan nasib laporan tabloid anies baswedan jumat;0
surya paloh niat prabowo maju rahasia;0
kpu pemilu digelar april problematik ideal maret;0
bpom kebakaran dpr dokumen obat terbakar;0
pesan grup whatsapp to firdaus we ascend surga pergi;1
video militer pakistan menang lawan militer amerika lomba;1
ppp koalisi parpol dinamis berhenti;0
pria misterius dimensi;1
